code,description
T7090414,"Replace Control & Battery Cables At Control Zones"
T7090415,"Reconstruct Circuit Breaker House #392 On The Flushing Line"
T7090416,"Rebuild Ducts At Central Substation On The 6 Avenue Line"
T7090418,"Protection Of Cables On The Dyre Avenue Line - Design Only"
T7090420,"Construct New Ducts At Bedford-North 6th Street Substation On The Canarsie Line"
T7090421,"Rehab Enclosure: Circuit Breaker House #76 On The Jamaica Line"
T7090426,"Negative Cable Replacement On The 4th Avenue Line, Phase 3B - Design Only"
T7090427,"Rehab CBh #296 At Nostrand Avenue - Design Only"
T7090428,"Rehab CBh #93 At 120 Street - Design Only"
T7090429,"Rehab Circuit Breaker House #536 On The Liberty Line - Design Only"
T7090410,"Rehab Enclosures At Various Circuit Breaker Houses - Design Only"
T7090413,"Upgrade Supervisory Control And Data Acquisition (SCADA) System - Design Only"
T7090417,"Replace Power System Negative Cables On 4th Avenue Line, Phase 2"
T7090419,"Replace Emergency Alarms - Phase 1"
T7090422,"New Low Resistance Contact Rail On Lexington Ave Line - Design Only"
T7090423,"New Negative Side Feeders On Lexington Ave Line - Design Only"
T7090424,"New Negative Side Feeders On Queen Boulevard Line East - Design Only"
T7090425,"New Low Resistance Contact Rail On Queen Boulevard Line East - Design Only"
T7090430,"New Low Resistance Contact Rail On The 8th Avenue Line - Design Only"
T7090431,"New Negative Side Feeders On The 8th Avenue Line - Design Only"
T7100401,"Shop Component Repairs At Various Car Equipment Facilities - Phase 1"
T7100402,"207 Street Maintenance And Overhaul Shop Roof & Component Replacement"
T7100403,"Shop Component Repairs, Phase 2 At 3 Maintenance Facilities"
T7100404,"Shop Component Repairs, Phase 3 At Jerome Maintenance Facility (Sbmp)"
T7100405,"Shop Component Repairs, Phase 4 At 207 Street Administration Building"
T7100406,"Rehab Of Livonia Maintenance Shop - Phase 1 - Design Only"
T7100407,"Upgrade Central Electronics Shop At Woodside Facility"
T7100408,"Upgrade Atlantic Avenue Cable Shop - Phase 1 - Design Only"
T7100409,"Heavy Shop Equipment"
T7100422,"Yard Lighting At 207 Street Yard"
T7100423,"Yard Lighting At Coney Island Yard - Design Only"
T7100424,"Yard Fencing At 2 Locations"
T7100427,"Install Yard Closed-Circuit Television Systems - Phase 3"
T7100429,"Structural Remediation At East 180th Street Maintenance Facility Building And Retaining Wall"
T7100431,"Rehabilitation Of Maintenance Facility At Livonia Shop - Phase 1"
T7100432,"Rehab 207 st Overhaul Shop: Air-Conditioning Shop"
T7100433,"Upgrade Central Electronics Shop At Woodside Facility (Sbdp)"
T7100434,"Purchase Oil-Water Separators At 2 Car Equipment Facilities"
T7100436,"Purchase Closed Loop Filtration Systems At 2 Car Equipment Facilities"
T7100437,"Installation Of 600V Dc Feed And Equipment At 207 Street Overhaul Shop"
T7100438,"Installation Of Utilities And Equipment At 207 Street Overhaul Shop"
T7100439,"Replacement Of Windows At 207 Street Overhaul Shop"
T7100440,"Rehab Of Livonia Maintenance Shop - Phase 1 Hvac (Nypa)"
T7100441,"New Railcar Receiving Facility"
T7100442,"Yard Lighting At Coney Island, Stillwell And Culver - Design Only"
T7100443,"Dce Car Washer Component Repairs At Canarsie & Jamaica - Design Only"
T7100444,"Yard Lighting At Fresh Pond - Design Only"
T7100410,"2015 Yard Track Replacement"
T7100411,"2016 Yard Track Replacement"
T7100412,"2017 Yard Track Replacement"
T7100413,"2018 Yard Track Replacement"
T7100414,"2019 Yard Track Replacement"
T7100415,"2020 Yard Track Replacement - Design Only"
T7100416,"2015 Yard Switch Replacement"
T7100417,"2016 Yard Switch Replacement"
T7100418,"2017 Yard Switch Replacement"
T7100419,"2018 Yard Switch Replacement"
T7100420,"2019 Yard Switch Replacement"
T7100421,"2020 Yard Switch Replacement - Design Only"
T7100428,"Component Repairs At Various Car Cleaning Facilities - Design Only"
T7100430,"Car Equipment Shops Industrial Engineering Study"
T7100435,"Purchase 10 Hot Water Pressure Washers At Various Car Equipment Facilities"
T7100445,"Component Repairs At The 207th Street Railcar Overhaul Facility - Design Only"
T7120301,"Depot Modification For Articulated Buses At East New York Depot"
T7120302,"Replacement Of Roof At Gun Hill Depot"
T7120303,"Upgrade Of Heating Ventilation And Air Conditioning (Hvac) System At Queens Village Depot - Design Only"
T7120304,"Replacement Of Chassis Wash At Grand Avenue Depot (Sbmp)"
T7120305,"Component Rehab At Casey Stengel Depot - Design Only"
T7120306,"Replace Emergency Generator At Yukon Depot"
T7120307,"Upgrade Heating Ventilation And Air Conditioning (Hvac) System At Fresh Pond Depot"
T7120308,"Manhattanville Depot: Paving - Design Only"
T7120310,"New Depot: Jamaica - Design Only"
T7120311,"Upgrade Of Office Space At Zerega Central Maintenance Facility (Sbmp)"
T7120312,"Replacement Of Chassis Wash At Gun Hill Depot (Sbmp)"
T7120313,"Depot Modification For Articulated Buses At Jackie Gleason Depot (Sbmp)"
T7120314,"Upgrade Heating Ventilation And Air Conditioning (Hvac) System At Manhattanville Depot"
T7120315,"Upgrade Heating Ventilation And Air Conditioning (Hvac) System At Zerega Central Maintenance Facility"
T7120316,"Replacement Of Roof Topping And Expansion Joints At Kingsbridge Depot - Design Only"
T7120317,"Replacement Of Roof Topping And Expansion Joints At Michael J. Quill Depot - Design Only"
T7120318,"Construction Of New Jamaica Depot (Sbdp)"
T7120319,"Replacement Of Roof At Queens Village Depot"
T7120320,"Articulated Maintenance Bay Modifications At Jackie Gleason Depot"
T7120321,"Facade Repair And Window Replacement At East New York Depot"
T7120322,"New Modular Office At East New York Depot"
T7120323,"Demolition Of Buildings For Bus Parking At Jamaica Bus Depot (Sbmp)"
T7120324,"Paving Of Parking Levels At Manhattanville Bus Depot (Sbmp)"
T7120325,"Paving Of Ramps And Fare Collection Equipment Repairs At Manhattanville Bus Depot"
T7120326,"Roof Replacement At Fresh Pond Depot"
T7120327,"Depot Components: East New York (Nypa) - Design Only"
T7120401,"Replace 6 Bus Washers At 3 Depots - Design Only"
T7120402,"Paint Booth Upgrade (Sbmp)"
T7120405,"Storage Tank Replacement - Design Only"
T7120407,"Shoreline Upgrade At Kingsbridge Bus Depot"
T7120408,"Elevator Upgrade At 5 Depots"
T7120411,"Replace Oil-Water Separator At Casey Stengel Depot"
T7120413,"New Bus Washer At Zerega Central Maintenance Facility (Sbdp)"
T7120414,"Replacement Of Chassis Wash At Casey Stengel Depot (Sbmp)"
T7120415,"Replace 2 Bus Washers At Fresh Pond Road Depot (Sbmp)"
T7120416,"Replace 2 Bus Washers At Jackie Gleason Depot (Sbmp)"
T7120417,"Replace 2 Bus Washers At Queens Village Depot (SBFP)"
T7120418,"Automated Fuel Management System Upgrade"
T7120419,"Queens Depot Property And Environmental Prep - Design Only"
T7120421,"Storage Tank Replacement At East New York And Gun Hill Depots"
T7120422,"Storage Tank Replacement At Jackie Gleason And Castleton Depots"
T7120403,"Select Bus Service 2015-19"
T7120404,"Traffic Signal Priority - Phase 2"
T7120406,"Depot Equipment Replacement (Sbdp)"
T7120410,"Environmental And Design For North Shore Bus Rapid Transit"
T7120412,"Replacement Of Portable Bus Lifts"
T7120420,"Select Bus Service: Advance 240 Mfcs"
T7160401,"Upgrade Copper Cable At Livingston Plaza"
T7160402,"Data Storage And Server Enhancements At 2 Broadway And 130 Livingston Plaza"
T7160403,"Purchase Hp San Hardware For Disaster Recovery At 2 Broadway"
T7160404,"Replace Ibm P-Series/San For Disaster Recovery At 2 Broadway And 130 Livingston Street"
T7160405,"Replace Superdome Server At 2 Broadway"
T7160406,"Install Servers For Disaster Recovery And Business Continuity"
T7160408,"Enterprise Asset Management (Eam)"
T7160518,"Station Capacity Enhancements At Broadway Junction On The Jamaica Line - Design Only"
T7160519,"Station Capacity Enhancements At Marcy Avenue On The Jamaica Line - Design Only"
T7160521,"Station Capacity Enhancements At Union Street On The 4 Avenue Line - Design Only"
T7160522,"Station Capacity Enhancements At Main Street On The Flushing Line - Design Only"
T7160523,"Station Capacity Enhancements At Queensboro Plaza On The Flushing Line - Design Only"
T7160524,"Station Capacity Enhancements At Vernon Jackson Avenue On The Flushing Line - Design Only"
T7160525,"Station Capacity Enhancements At East Broadway On The 6 Avenue Line - Design Only"
T7160526,"Station Capacity Enhancements At 170 Street On The Jerome Line - Design Only"
T7160501,"Reserve: Scope Development"
T7160502,"Reserve: Design"
T7160503,"Engineering Services"
T7160504,"MTA Independent Engineering Consultant"
T7160505,"General Order Support Traffic Checkers"
T7160506,"Value Engineering Services"
T7160507,"Small Business Development Program Administration"
T7160508,"Construction Support Services"
T7160509,"Concrete Batch Plant Inspection"
T7160510,"Boring Services: Brooklyn, Queens, Staten Island"
T7160511,"Boring Services: Manhattan, Bronx"
T7160512,"Test Pits"
T7160513,"Concrete Cylinder Testing"
T7160515,"Utica Avenue Subway Extension Study"
T7160516,"Reserve: Core Station Improvement Project"
T7160517,"Reserve: Small Business Mentoring Program"
T7160520,"Staten Island West Shore Light Rail Alternatives Analysis"
T7160601,"Replace Fire Alarm Systems At 3 Locations"
T7160608,"Decommission Remediation System At Flatbush Depot (Sbmp)"
T7160609,"Decommission Remediation System At Kingsbridge Depot (Sbmp)"
T7160602,"Asbestos / Lead Air Monitoring"
T7160603,"Asbestos Abatement"
T7160604,"Asbestos Disposal"
T7160605,"Consultant Services For The Underground Storage Tanks And Environmental Remediation Program"
T7160606,"Groundwater And Soil Remediation"
T7160607,"Consultant Services For The Underground Storage Tanks (Usts) & Environmental Remediation Program"
T7160701,"Rehab Police District Office At 14 Street - Union Square - Design Only"
T7160703,"Employee Facility Consolidation At 2 Avenue Station On The 6 Avenue Line - Design Only"
T7160704,"Employee Facility Component Repairs At 7 Locs In Manhattan"
T7160705,"Employee Facility Component Repairs At 3 Locs"
T7160706,"Employee Facility Repairs At East Broadway On The 6 Avenue Line - Design Only"
T7160707,"Employee Facility Line Repairs At 10 Locations On The 8 Avenue Line - Phase 1"
T7160708,"Employee Facility Relocation Of Track Quarters At 14 Street-Union Square - Design Only"
T7160714,"Improvements To Electrical And Mechanical Systems At Livingston Plaza - Phase A"
T7160715,"Construction Of Rail Control Center Annex"
T7160716,"Upgrade Power Systems At The Rail Control Center And Power Control Center"
T7160717,"Refurbish Keene Vacuum Systems"
T7160718,"Upgrade Security System At Consolidated Revenue Facility (Sbmp)"
T7160721,"Electrical Distribution Room (Edr) Repairs At The Police District Office At Briarwood-Van Wyck Boulevard"
T7160722,"Repair Medical Assessment Center At The 207 Street Yard (Sbdp)"
T7160723,"Priority Repairs Of Tiffany Central Warehouse Exterior Walls"
T7160724,"Construction Of New York Police Department Special Victims Unit Facility"
T7160725,"Rehabilitation Of Employee Bathroom And Breakroom Facilities At Various Locations (Sbmp)"
T7160727,"Replacement Of Roof At Tiffany Central Warehouse"
T7160728,"Electronics Maintenance Division (Emd) Facility At Hoyt-Schermerhorn Station On The Fulton Line - Design Only"
T7160729,"Rapid Transit Operations (Rto) Facility At 3 Avenue-138 Street Station On The Pelham Line"
T7160730,"Expansion Of Elevator & Escalator Training Facility - Design Only"
T7160734,"Improvements To Electrical And Mechanical Systems At Livingston Plaza - Phase B - Design Only"
T7160735,"Employee Facility Line Repairs At 6 Locations On The 8 Avenue Line - Phase 2"
T7160738,"Water Remediation And Equipment Replacement At The Edr At Prospect Park On The Brighton Line - Design Only"
T7160742,"Employee Facility Component Repairs At 6 Locations"
T7160733,"Employee Facility Component Repairs At Various Locations"
T7160737,"Fare Evasion Cameras"
T7160201,"All-Agency Liability Insurance & Deductible"
T7160202,"Reserve: Property Insurance Self-Insured Retention"
T7160203,"Capital Revolving Fund 2015"
T7160204,"Capital Revolving Fund 2016"
T7160205,"Capital Revolving Fund 2017"
T7160206,"Capital Revolving Fund 2018"
T7160207,"Capital Revolving Fund 2019"
T7160298,"Owner Controlled Insurance Program"
T7010101,"Purchase 440 B-Division Railcars"
T7010102,"Purchase 20 B-Division Railcars - Open Gangway"
T7010103,"Subway Action Plan: Upgrade 220 R142A Railcars"
T7010104,"Upgrade 1030 A-Division R142 Railcars - Design Only"
T7010105,"Purchase 1178 A-Division Railcars - Design Only"
T7010106,"Upgrade 220 A-Division R142A Railcars - Design Only"
T7050201,"2015 Mainline Track Replacement"
T7050202,"2016 Mainline Track Replacement"
T7050203,"2017 Mainline Track Replacement"
T7050204,"2018 Mainline Track Replacement"
T7050205,"2019 Mainline Track Replacement"
T7050206,"2020 Mainline Track Replacement - Design Only"
T7050207,"2015 Welded Rail Installation On The Queens Boulevard Line"
T7050208,"2016 Welded Rail Installation On The Queens Boulevard Line"
T7050209,"2017 Welded Rail Installation"
T7050210,"2018 Welded Rail Installation"
T7050211,"2019 Welded Rail Installation"
T7050212,"2015 Track Force Account"
T7050213,"2016 Track Force Account"
T7050214,"2017 Track Force Account"
T7050215,"2018 Track Force Account"
T7050216,"2019 Track Force Account"
T7050217,"2015 Mainline Track Replacement On The Brighton Line"
T7050218,"2015 Mainline Track Replacement On The Queens Boulevard Line"
T7050219,"2015 Mainline Track Replacement On The West End Line"
T7050220,"2015 Mainline Track Replacement On The Flushing Line"
T7050221,"2015 Mainline Track Replacement On The 8 Avenue Line"
T7050222,"2015 Mainline Track Replacement On The Jerome Line"
T7050223,"2015 Mainline Track Replacement On The Pelham Line"
T7050224,"2015 Mainline Track Replacement On The Lexington Line"
T7050225,"2015 Mainline Track Replacement On The Liberty Line"
T7050226,"2015 Mainline Track Replacement On The Lenox-White Plains Road Line"
T7050228,"2015 Welded Rail Installation On The 8th Avenue Line"
T7050229,"2015 Mainline Track Replacement On The Broadway Line"
T7050230,"2016 Mainline Track Replacement On The Brighton Line"
T7050231,"2016 Mainline Track Replacement On The Jamaica Line"
T7050232,"2016 Mainline Track Replacement On The Queens Boulevard Line"
T7050233,"2016 Mainline Track Replacement On The Dyre Avenue Line"
T7050234,"2016 Mainline Track Replacement On The 6th Avenue / Culver Line"
T7050236,"2016 Welded Rail Installation On The 8th Avenue Line"
T7050237,"2016 Mainline Track Replacement On The Pelham Line"
T7050238,"2016 Mainline Track Replacement On The White Plains Road Line"
T7050239,"2016 Mainline Track Replacement On The Myrtle Line (Bushwick Cut)"
T7050240,"2016 Mainline Track Replacement In The Canarsie Tube"
T7050241,"2015 Mainline Track Replacement On The Canarsie Line"
T7050242,"2015 Mainline Track Replacement On The Broadway-7 Avenue Line"
T7050243,"2015 Mainline Track Replacement On The Dyre Avenue Line"
T7050244,"2016 Mainline Track Replacement On The West End Line"
T7050245,"2016 Mainline Track Replacement On The Flushing Line"
T7050246,"2016 Mainline Track Replacement On The 8 Avenue Line"
T7050247,"2016 Mainline Track Replacement On The Lenox-White Plains Road Line"
T7050248,"2016 Mainline Track And Third Rail Replacement For 2nd Avenue-63Rd Street Connection"
T7050249,"2016 Mainline Track Replacement At Bowling Green On The Lexington Avenue Line"
T7050250,"2016 Mainline Track Replacement On The Jerome Line"
T7050251,"2017 Mainline Track Replacement On The Brighton Line"
T7050252,"2017 Mainline Track Replacement On The Sea Beach Line"
T7050253,"2017 Mainline Track Replacement On The Broadway Line"
T7050254,"2017 Mainline Track Replacement On The 4th Avenue Line"
T7050255,"2017 Mainline Track Replacement On The Canarsie Line"
T7050256,"2017 Mainline Track Replacement On The Crosstown Line"
T7050257,"2017 Mainline Track Replacement On The Culver Line"
T7050258,"2017 Mainline Track Replacement On The Eastern Parkway Line"
T7050259,"2017 Mainline Track Replacement On The Jerome Line"
T7050260,"2017 Mainline Track Replacement On The Lexington Line"
T7050261,"2017 Mainline Track Replacement On The Pelham Line"
T7050262,"2017 Mainline Track Replacement On The 7 Avenue Line"
T7050263,"2017 Mainline Track Replacement On The Broadway-7th Avenue Line"
T7050264,"2017 Mainline Track Replacement On The Concourse Line"
T7050265,"2017 Mainline Track Replacement On The Liberty Line"
T7050267,"2017 Mainline Track Replacement On The Myrtle Line"
T7050268,"2017 Mainline Track Replacement On The White Plains Road Line"
T7050269,"Subway Action Plan: Welded Rail Installation"
T7050270,"2018 Mainline Track Replacement On The Astoria Line"
T7050271,"2018 Mainline Track Replacement On The Flushing Line"
T7050272,"2018 Mainline Track Replacement On The Jamaica Line"
T7050273,"2018 Mainline Track Replacement On The Brighton Line"
T7050274,"2018 Mainline Track Replacement On The Dyre Line"
T7050275,"2018 Mainline Track Replacement On The Pelham Line"
T7050276,"2018 Mainline Track Replacement On The Eastern Parkway Line"
T7050277,"2018 Mainline Track Replacement On The Broadway-7th Avenue Line"
T7050278,"2018 Mainline Track Replacement On The Canarsie Line"
T7050279,"2018 Mainline Track Replacement On The Concourse Line"
T7050280,"2018 Mainline Track Replacement On The Culver Line"
T7050281,"2018 Mainline Track Replacement On The West End Line"
T7050282,"2018 Mainline Track Replacement On The Lexington Line"
T7050283,"2018 Mainline Track Replacement On The Archer Avenue Line"
T7050284,"2018 Mainline Track Replacement On The Lenox-White Plains Road Line"
T7050285,"2018 Mainline Track Replacement On The Myrtle Line"
T7050286,"Mainline Track Replacement On The Times Square Shuttle"
T7050287,"2018 Mainline Track Replacement On The Brighton Line"
T7050288,"2018 Mainline Track Replacement On The 4th Avenue Line"
T7050290,"2019 Mainline Track Replacement On The Myrtle Line"
T7050291,"2019 Mainline Track Replacement On The Manhattan Bridge"
T7050293,"2019 Mainline Track Replacement On The Astoria Line"
T7050294,"2019 Mainline Track Replacement On The Flushing Line"
T7050295,"2019 Mainline Track Replacement On The Jamaica-Nassau Cut"
T7050297,"2019 Mainline Track Replacement On The Pelham Line"
T7050299,"2019 Mainline Track Replacement On The Jerome Line"
T70502A2,"Subway Action Plan: Welded Rail Installation, Phase 2"
T70502A3,"Mainline Track / Myrtle Line (Rf-U69 Plates)"
T7050301,"2015 Mainline Switch Replacement"
T7050302,"2016 Mainline Switch Replacement"
T7050303,"2017 Mainline Switch Replacement"
T7050304,"2018 Mainline Switch Replacement"
T7050305,"2019 Mainline Switch Replacement"
T7050306,"2020 Mainline Switch Replacement - Design Only"
T7050307,"2015 Mainline Switch Replacement On The Brighton Line"
T7050308,"2015 Mainline Switch Replacement On The Queens Boulevard Line"
T7050309,"2015 Mainline Switch Replacement On The 8th Avenue Line"
T7050310,"2015 Mainline Switch Replacement On The Broadway-7th Avenue Line"
T7050311,"2015 Mainline Switch Replacement On The Dyre Avenue Line"
T7050312,"2016 Mainline Switch Replacement On The Jamaica Line"
T7050313,"2016 Mainline Switch Replacement On The 6th Avenue Line"
T7050314,"2016 Mainline Switch Replacement On The Pelham Line"
T7050315,"2016 Mainline Switch Replacement On The Dyre Avenue Line"
T7050316,"2016 Mainline Switch Replacement On The Queens Boulevard Line"
T7050317,"2015 Mainline Switch Replacement On The 6th Avenue Line"
T7050318,"2016 Mainline Switch Replacement On The 8 Avenue Line"
T7050319,"2016 Mainline Switch Replacement On The Broadway-7 Avenue Line"
T7050320,"2016 Mainline Switch Replacement On The Flushing Line"
T7050321,"2017 Mainline Switch Replacement On The Brighton Line"
T7050322,"2017 Mainline Switch Replacement On The Astoria Line"
T7050323,"2017 Mainline Switch Replacement On The Eastern Parkway Line"
T7050324,"2017 Mainline Switch Replacement On The 7 Avenue Line"
T7050325,"2017 Mainline Switch Replacement On The Broadway-7 Avenue Line"
T7050326,"2017 Mainline Switch Replacement On The Lenox-White Plains Road Line"
T7050327,"2018 Mainline Switch Replacement On The Jamaica Line"
T7050328,"2018 Mainline Switch Replacement On The Astoria Line"
T7050329,"2018 Mainline Switch Replacement On The Canarsie Line (Bedford)"
T7050330,"2018 Mainline Switch Replacement On The 6th Avenue-Culver Line"
T7050331,"2018 Mainline Switch Replacement On The Lenox-White Plains Road Line"
T7050332,"2018 Mainline Switch Replacement On The White Plains Road Line"
T7050333,"2018 Mainline Switch Replacement On The 4th Avenue Line"
T7050334,"2018 Mainline Switch Replacement On The Culver Line (Ditmas)"
T7050337,"2019 Mainline Switch Replacement On The 6th Avenue Line"
T7050338,"2019 Mainline Switch Replacement On The Canarsie Line (3Rd Avenue)"
T7050339,"2019 Mainline Switch Replacement On The Broadway-7 Avenue Line"
T7050340,"2019 Mainline Switch Replacement On The Queens Boulevard Line"
T7130201,"Purchase 116 Non-Revenue Vehicles"
T7130202,"Purchase 49 Non-Revenue Vehicles"
T7130203,"Purchase 63 Non-Revenue Vehicles"
T7130204,"Purchase 42 Non-Revenue Vehicles"
T7130205,"Purchase 24 Non-Revenue Vehicles"
T7130206,"Purchase 2 Signal Supply Cars - Design Only"
T7130207,"Purchase 27 Refuse Flats - Design Only"
T7130208,"Purchase 12 3-Ton Crane Cars"
T7130210,"Installation Of Track Inspection Car Platform Measuring And Video Recording System"
T7130211,"Purchase Locomotives"
T7130212,"Purchase 202 Non-Revenue Vehicles"
T7130213,"Purchase Various Non-Revenue Vehicles"
T7130214,"Subway Action Plan: Purchase 53 Non-Revenue Vehicles"
T7130215,"Conversion Of 10 R77E Locomotives"
T7130216,"Purchase 65 Flat Cars: Additional Support Costs"
S7070102,"Station Component Program (Six Stations)"
S7070105,"Construction Of New Power Substation: Tottenville"
S7070106,"Construction Of New Power Substation: New Dorp"
S7070107,"Construction Of New Power Substation: Clifton"
S7070110,"Rehabilitation Of Amboy Road Bridge"
S7070111,"Relocation Of Headquarters To Clifton Shop"
S7070112,"Enhanced Station Initiative: Richmond Valley (Sbmp)"
S7070113,"Reconfiguration Of Clifton Yard Track And Switch"
S7070101,"Replacement Of Car Fleet"
S7070103,"Mainline Track Replacement"
S7070104,"Uhf T-Band Radio System Replacement"
S7070108,"Installation Of Customer Information Signs"
S7070109,"Station Component Program (Sbdp)"
S7070114,"Track And Switch Rehabilitation On The Sir Mainline - Design Only"
L70204EJ,"Huntington Station E. Pedestrian Overpass [Sbdp]"
L70204U8,"ESA-Biltmore Room Gct"
L70204U9,"Jamaica Station - Planning & Engineering"
L70204UG,"Mets-Willets Pt. Station - Design Only"
L70204UJ,"Enhanced Station Initiatives"
L70204UM,"Murray Hill Station - New Elevators"
L70204UN,"Nostrand Ave Station Rehabilitation"
L70204UO,"Brookhaven Lab Station"
L70204UP,"Port Washington Station Improvements"
L70204UQ,"Babylon Station Platform Replacement - Design Only"
L70204UW,"Gct / ESA Unified Trash Facility"
L70204UX,"Hunterspoint Avenue Station Renewal"
L70204UY,"Elmhurst Station-New Station"
L70204UZ,"New Republic Station On Main Line"
L70204V3,"Mentor Station Component Improvements"
L70204V5,"Enhanced Station Initiatives [Esi]: Phase 1- 8 Stations: Deer Park, Brentwood, Merrick, Stony Brook, Syosset, East Hampton, Bellmore, And Farmingdale."
L70204V6,"Enhanced Station Initiative: Stewart Manor (Sbmp)"
L70204V7,"Enhanced Station Initiative: Port Jefferson"
L70204V8,"Enhanced Station Initiative: Port Jefferson (Sbmp)"
L70204V9,"Enhanced Station Initiatives [Esi]: Phase 2 - 6 Stations: Great Neck, Bayside, Northport, Valley Stream, Ronkonkoma, And Baldwin."
L70204VH,"Ronkonkoma Garage Stairs Rehab [Sbdp]"
L70204VT,"st Albans Station Renewal Sbdp"
L70204VU,"Station Signage Replacement 9 Locations"
L70204VV,"Lynbrook Station Improvements"
L70204VW,"Amityville Platform Canopy Roof"
L70204VX,"Hempstead Fencing & Lighting Upgrade"
L70204VY,"Atlantic Ave. Terminal Development. Design Only"
L70204VZ,"Elmont Station"
L70204UA,"Station Component Replacement"
L70204UL,"Station Platform Lighting"
L70204UR,"Station Platform Railing Replacement"
L70204US,"Station Signage Program"
L70204UT,"Station & Building Electrical Systems"
L70204UU,"Mentor Allowance - Stations"
L70204UV,"New Fare Payment System - Omny"
L70205V1,"Parking Rehabilitation"
L70205V2,"Parking Facility Development"
L70206EF,"Penn Station Ny-33Rd Corridor (LIRR East End Gateway Phase 1B Construction)"
L70206EG,"Penn Station Ny-33Rd Corridor (Phase 2 Construction)"
L70206VM,"Empire Development Corp."
L70206VN,"Penn Station Ny-33Rd Corridor (LIRR East End Gateway Phase 1A Construction)"
L70206VP,"Penn Station Elevator / Escalator Replacement"
L70206VQ,"Penn Station Customer Facilities Design"
L70206VR,"Penn Station Complex Improvements - Design Only"
L70206VS,"Moynihan Train Hall"
L70301W9,"Brentwood Freight Siding"
L70301WA,"2015 Annual Track Program"
L70301WB,"2016 Annual Track Program"
L70301WC,"2017 Annual Track Program"
L70301WD,"2018 Annual Track Program"
L70301WE,"2019 Annual Track Program"
L70301WF,"Right Of Way Fencing"
L70301WG,"Construction Equipment"
L70301WH,"Retaining Walls / Right Of Way Projects"
L70301WJ,"Construction Equipment - Phase 2"
L70304WU,"Jamaica Capacity Improvements Phase 2 Design"
L70304WV,"Amtrak Territory Improvements"
L70304WX,"Main Line Double Track Phase 2"
L70401BM,"Wreck Lead Bridge Rehabilitation Design"
L70401BQ,"Bridge Program - Structural Renewals"
L70401BR,"Main Line Bridge Component Renewals"
L70401BT,"Removal Of Montauk Cut Off Viaduct"
L70401BV,"North Main Street And Accabonac Bridge Replacements"
L70401BW,"Flushing Main st Bridge Renewal"
L70401BX,"The Springfield Blvd And The Union Tpke Bridge Rehab"
L70401BZ,"Webster Ave Bridge Replacement - Design Only"
L70401C3,"Lynbrook And Rockville Centre Viaducts"
L70401C4,"Cherry Valley Road Bridge Replacement"
L70401C5,"Atlantic Ave Hatchways"
L70401C6,"Bridge Painting"
L70401C7,"Atlantic Ave Hatchways"
L70401C8,"Row Improvements: Franklin Ave & Murray Hill - Design Only"
L70401C9,"Row Improvements: Franklin Ave & Murray Hill"
L70401D2,"Cabin M Bridge Demolition"
L70401D3,"Montauk Cut-Off Demolition"
L70401D4,"Lynbrook & Rockville Centre Renewals"
L70401D6,"Buckram Road Bridge Landscaping"
L70401BS,"Bridge Painting/Waterproofing"
L70401BU,"Mentor Allowance - Line Structures"
L70501SN,"Penn Station Radio Retrofit / Ert Antenna"
L70501SD,"Fiber Optic Network"
L70501SE,"Communications Pole Line Replacement"
L70501SF,"Improve Radio Coverage Initiatives / Fcc Mandate"
L70501SJ,"LIRR Public Address System"
L70501SR,"Station Platform Cctv Cameras"
L70502LH,"Babylon Interlocking Renewal"
L70502LL,"Ronkonkoma To Yaphank Signalization"
L70502LM,"Hunt To Post Design"
L70502LN,"Babylon To Patchogue"
L70502LJ,"Signal Normal Replacement Program"
L70502LK,"Positive Train Control"
L70502LP,"Lightning Protection"
L70502LQ,"Centralized Train Control"
L70601YG,"Diesel Locomotive Shop Improvements"
L70601YR,"Yard Improvements"
L70601YH,"Rolling Stock Support Equipment"
L70601YS,"New Huntington / Port Jefferson Branch Electric Yard"
L7060462,"Huntington Station Hvac Replacement"
L7060464,"Rolling Stock Hvac Unit Rotating Machine [Sbdp]"
L7060465,"Morris Pk Building 3 Elevator Renewal [Sbdp]"
L7060468,"Hsf Loading Dock And Pine Aire Parking Grp D Sbdp"
L7060469,"Hsf Loading Dock Exhaust And Hvac Replacement Sbdp"
L70604YM,"Ronkonkoma Yard Asphalt Restoration"
L70604YP,"Rehab Of Employee Facilities - 5 Locations"
L70604YQ,"Sewer & Facility Improvements - 3 Locations"
L70604YU,"Hillside Buildings- Lightning Protection [Sbdp]"
L70604YV,"Hillside Facility / Upper Holban Improvements"
L70604YX,"Fire Protection Improvements"
L70604YZ,"Morris Park Communication Building"
L7060463,"Employee Facility"
L70604YJ,"Mentor Allowance - Shops & Yards"
L70604YW,"Rehabilitation Of Employee Facilities"
L70701XA,"Meadowbrook Substation Replacement"
L70701XP,"Atlantic Avenue Tunnel Lightning"
L70701XS,"Substation Renewals"
L70701XU,"Substation Replacement Package 2 - Construction"
L70701XX,"Hall & Babylon Signal Power Motor Generator Repl."
L70701XB,"Substation Components"
L70701XC,"Dc Feeder And Jumper Cables (2000 Million Cubic Meter Gauge)"
L70701XD,"3Rd Rail - Disconnect Switches"
L70701XE,"3Rd Rail - Protection Board"
L70701XF,"3Rd Rail - Composite Rail"
L70701XG,"3Rd Rail - Feeder Cable Replacement"
L70701XH,"Negative Reactor Upgrade"
