code,description
E6050303,"Hugh Carey Tunnel - Raise Seawalls At The Governors Island Vent Building"
E6050304,"Queens Midtown Tunnel Mitigation & Interagency Improvements Reserve"
E6060201,"MTA B&T Administration Related To Sandy Funding And Program Implementation."
E6060207,"Recovery: Tunnel Lighting (Montague Tube)"
E6060208,"Recovery: 2 Pump Rooms (Montague Tube)"
E6060209,"Recovery: Fan Plant (Montague Tube)"
E6060210,"Recovery: Tunnel Lighting (Greenpoint Tube)"
E6060211,"Recovery: Pump Room (Greenpoint Tube)"
E6060212,"Recovery: Fan Plant (Greenpoint Tube)"
E6060213,"Recovery: Tunnel Lighting (Canarsie Tube)"
E6060214,"Recovery: Tunnel Lighting (Rutgers Tube)"
E6060216,"Recovery: Tunnel Lighting (Joralemon Tube)"
E6060217,"Recovery: Pump Room (South Ferry)"
E6060218,"Recovery: 2 Pump Rooms (Southern Manhattan)"
E6060219,"Recovery: Pump Room (Canarsie Tube)"
E6060220,"Recovery: Pump Room (207 Street-Broadway / 8th Avenue)"
E6060221,"Recovery: Pump Room (Steinway Tube)"
E6060223,"Recovery: Fan Plant (South Ferry)"
E6060224,"Recovery: 3 Fan Plants (Southern Manhattan)"
E6060225,"Recovery: 3 Fan Plants (Cranberry And Rutgers Tubes) - Design Only"
E6060226,"Recovery: Fan Plant (Clark Tube)"
E6060227,"Recovery: Tunnel Lighting (South Ferry)"
E6060228,"Recovery: Tunnel Lighting (200th To 207th Street / 8th Avenue)"
E6060230,"Recovery: 2 Pump Rooms (Cranberry Tube)"
E6060231,"Recovery: 2 Fan Plants (Cranberry Tube)"
E6060232,"Recovery: 2 Pump Rooms (Rutgers Tube)"
E6060233,"Recovery: Fan Plant (Rutgers Tube)"
E6060234,"Recovery: Pump Room (Clark Tube)"
E60602ZD,"West Side Storage Yard Restoration"
E60602ZL,"Long Island City Yard Restoration"
E6060206,"Recovery: Line Equipment Restoration At Various Locations - Design Only"
E6060229,"Recovery Reserve: Line Equipment Restoration At Various Locations"
E60602ZO,"LIRR Shops & Yards Restoration Reserve"
E6060306,"Mitigation: Above-Grade Surface Protection At 6 Fan Plants"
E6060308,"Mitigation: Hatch Replacement And Installation Of Mechanical Closure Devices At Various Fan Plants (SBFP)"
E6060310,"Mitigation: Seal Conduit And Duct Penetrations (SBFP)"
E6060313,"Mitigation: 2 Pump Rooms (Joralemon Tube)"
E6060318,"Mitigation: Pumping System Improvements - Design Only"
E6060320,"Mitigation: 11 Fan Plants"
E6060321,"Mitigation: 4 Fan Plants"
E6060323,"Mitigation: 2 Pump Rooms (Cranberry Tube)"
E6060324,"Mitigation: 3 Pump Rooms (Clark Tube)"
E6060325,"Mitigation: 1 Fan Plant"
E6060326,"Mitigation: 1 Fan Plant (SBFP) - Design Only"
E6060329,"Mitigation: 14 Fan Plants And Adjacent Tunnels - Design Only"
E6060330,"Mitigation: 1 Fan Plant On The Flushing Line"
E6060332,"Mitigation: 3 Pump Rooms (53Rd st Tube)"
E6060333,"Mitigation: Pump Control Room (Steinway Tube)"
E6060335,"Mitigation: 2 Pump Rooms (Rutgers Tube)"
E6060336,"Mitigation: 4 Pump Rooms (Jerome-Pelham Tube)"
E6060338,"Mitigation: 2 Pump Rooms (Steinway Tube)"
E6060339,"Mitigation: 17 Fan Plants Wrap-Up (2 Locations)"
E6060341,"Mitigation: Outstanding Work At 3 Fan Plants"
E6060342,"Mitigation: Duct Seals At 2 Fan Plants"
E60603ZK,"Long Island City Yard Resiliency"
E60603ZP,"West Side Yard & East River Tunnel Mitigation"
E60603ZS,"Long Island City Yard Resiliency"
E60603ZU,"Long Island City Yard - Construction"
E6060301,"Mitigation Reserve: Pumping System Improvements"
E6060302,"Mitigation Reserve: Subway Equipment Hardening In Flood-Prone Areas, Phase 1"
E6060303,"Mitigation Reserve: Subway Equipment Hardening In Flood-Prone Areas, Phase 2"
E6060304,"Mitigation: Conversion Of 2 Pump Trains"
E6060305,"Mitigation: 17 Fan Plants And Adjacent Tunnels"
E6060307,"Mitigation: Deployable Vent Covers (SBFP)"
E6060309,"Mitigation: Hatch Replacement At Various Fan Plants (SBFP)"
E6060311,"Mitigation: Pumping System Improvements For Under River Tubes"
E6060312,"Mitigation: Purchase Of Backup Generators"
E6060316,"Mitigation: Improve Pumping Capacity (Annex Pumps) - Design Only"
E6060317,"Mitigation: Conversion Of 2 Pump Trains"
E6060319,"Mitigation: Department Of Buses Mobile Pumps"
E6060322,"Mitigation: Right-Of-Way Equipment Hardening"
E6060327,"Mitigation: Pump Room Enhancements"
E6060328,"Mitigation: Department Of Subways Mobile Pumps"
E6060331,"Mitigation: Steinway Portal Signal Tower"
E6060337,"Mitigation: Department Of Buses Generators"
E60603ZQ,"East River Tunnels High Density Signaling"
E6070202,"Recovery: Line Structure Restoration On The Rockaway Line"
E6070209,"Recovery: Staten Island Railway Restoration - Design Only"
E6070210,"Recovery: Clifton Shop - Phase 1"
E6070211,"Recovery: Reconstruction Of Clifton Car Repair Shop"
E6070212,"Recovery: St. George Terminal Tower B - Phase 1"
E6070213,"Recovery: St. George Terminal Tower B - Phase 2"
E6070214,"Recovery: St. George Interlocking"
E6070215,"Recovery: St. George Terminal Tower B - Phase 2, Employee Facilities"
E60702ZE,"Long Beach Branch Substation Replacement."
E60702ZM,"First Avenue Substation Restoration"
E60702ZN,"Long Island City (Lic) Substation Component Replacement"
E6070206,"Recovery: Line Structure Repairs At Various Locations - Design Only"
E6070207,"Recovery Reserve: Rockaway Line Structure Restoration"
E6070208,"Recovery Reserve: Staten Island Railway Restoration"
E6070302,"Mitigation: Reconstruction Of Clifton Car Repair Shop"
E6070303,"Mitigation: St. George Terminal Yard"
E6070304,"Mitigation Reserve: Sea Beach Line Flood Prevention, Phase 1"
E6070305,"Mitigation Reserve: Sea Beach Line Flood Prevention, Phase 2"
E6070306,"Mitigation: Internal Tunnel Sealing For West 4th Street Interlocking"
E6070307,"Mitigation: Internal Tunnel Sealing"
E6070308,"Mitigation: Steinway Portal"
E6070309,"Mitigation: Long Term Flood Protection At Hammels Wye"
E6070310,"Mitigation: Debris Shielding On The Rockaway Line"
E6070311,"Mitigation: New Crossover At Beach 105 Street On The Rockaway Line"
E6070312,"Mitigation: Long Term Flood Protection On The Rockaway Line"
E6070313,"Mitigation: Compressor Room Protection At Rockaway Park Yard"
E6070314,"Mitigation: Debris Shielding At Hammels Wye On The Rockaway Line"
E6070301,"Mitigation Reserve: Staten Island Railway, Various Locations"
E6080201,"Recovery: South Ferry Interlocking"
E6080202,"Recovery: Signal Restoration On The Rockaway Line"
E6080206,"Recovery: Signals In Under River Tubes - Design Only"
E6080207,"Recovery: Signals At 200 st To 207 st On The 8th Avenue Line"
E6080209,"Recovery: Signals (Greenpoint Tube)"
E6080210,"Recovery: Whitehall Street Interlocking On The Broadway Line - Design Only"
E6080211,"Recovery: Signals (Canarsie Tube)"
E6080212,"Recovery: Signals (Clark Tube)"
E6080213,"Recovery: Signals (Rutgers Tube)"
E6080214,"Recovery: Signals (Cranberry Tube)"
E6080215,"Recovery: Signals (53 Street Tube)"
E6080216,"Recovery: Signals (Montague Tube)"
E6080217,"Recovery: Signal Circuit Modifications (Montague Tube)"
E6080218,"Recovery: Install Programmable Logic Controller Signal Equipment On The Rockaway Line"
E6080219,"Recovery: Revenue Facility Microwave Communications System"
E6080220,"Recovery: Rockaway Park Interlocking - Design Only"
E6080223,"Recovery Reserve: South Ferry Signals And Communications Restoration"
E6080224,"Recovery Reserve: Rockaway Line Signals And Communications Restoration"
E6080225,"Recovery Reserve: Signals And Communications Restoration At Various Locations"
E6080226,"Recovery Reserve: Signals Restoration"
E6080228,"Recovery: Risk Reserve (South Ferry)"
E6080301,"Mitigation Reserve: System Improvements - Subway Service Flexibility, Phase 1"
E6080302,"Mitigation Reserve: System Improvements - Subway Service Flexibility, Phase 2"
E6090201,"Recovery Reserve: South Ferry Traction Power Restoration"
E6090202,"Recovery: Traction Power Restoration On The Rockaway Line"
E6090206,"Recovery: Traction Power Restoration At Various Locations - Design Only"
E6090207,"Recovery: 3 Circuit Breaker Houses (Montague Tube)"
E6090208,"Recovery: Power Cable, Communication Cable, Ducts And Rust Coating (Montague Tube)"
E6090209,"Recovery: 2 Substations (Montague Tube)"
E6090210,"Recovery: Power And Communication Cables (Greenpoint Tube)"
E6090211,"Recovery: 2 Circuit Breaker Houses (Canarsie Tube)"
E6090212,"Recovery: Power Cable, Communication Cable And Ducts (Canarsie Tube)"
E6090215,"Recovery: 6 Circuit Breaker Houses (Cranberry Tube) - Design Only"
E6090218,"Recovery: Substation (Joralemon Tube)"
E6090219,"Recovery: Power And Communication Cables (Rutgers Tube)"
E6090220,"Recovery: Power And Communication Cables (Cranberry Tube)"
E6090221,"Recovery: Power And Communication Cables (Joralemon Tube)"
E6090224,"Recovery: Power And Communication Cables (Clark Street Tube)"
E6090225,"Recovery: Power And Communication Cables (53 Street Tube)"
E6090226,"Recovery: 2 Circuit Breaker Houses (53 Street Tube)"
E6090227,"Recovery: 12 Circuit Breaker Houses - Design Only"
E6090232,"Recovery: Circuit Breaker House (Cranberry Tube)"
E6090233,"Recovery: Substation (Cranberry Tube)"
E6090234,"Recovery: Circuit Breaker House (Rutgers Tube)"
E6090235,"Recovery: 2 Circuit Breaker Houses (South Ferry)"
E6090236,"Recovery: 2 Circuit Breaker Houses (Westchester Yard)"
E6090237,"Recovery: 2 Circuit Breaker Houses (Westchester Yard And 239 st Yard)"
E6090238,"Recovery: Substation (53 Street Tube)"
E60902ZF,"Infrastructure / System Upgrades (Various Locations)"
E6090229,"Recovery Reserve: Rockaway Line Traction Power Restoration"
E6090230,"Recovery Reserve: Traction Power Restoration At Various Locations"
E6090231,"Recovery: Sandy Repair MTA Independent Integrity Monitor"
E6090240,"Recovery: Purchase Emergency Alarms For Under River Tubes"
E6090244,"Recovery: Traction Power Repairs At Various Locations"
E6090302,"Mitigation: Power Cables And Ducts In The Montague Tube"
E6090304,"Mitigation: Montague-Furman Substation On The Broadway Line"
E6090305,"Mitigation: Substation Hardening In Flood Prone Areas"
E6090306,"Mitigation: Substation Hardening At 9 Locations - Design Only"
E6090307,"Mitigation: Substation Hardening At 24 Locations"
E6090309,"Mitigation: Power Cable, Communication Cable And Ducts (Canarsie Tube)"
E6090310,"Mitigation: Back-Up Power Control Center"
E6090311,"Mitigation: Substation Hardening At 4 Locations - Design Only"
E6090312,"Mitigation: Site Improvements At 4 Locations"
E6090313,"Mitigation: Substation Hardening At West Broadway-Murray st Substation On The Broadway-7 Avenue Line"
E6090314,"Mitigation: Substation Hardening At Tudor Substation On The Flushing Line"
E6090301,"Mitigation Reserve: Power Cables And Ducts"
E6090308,"Mitigation Reserve: Deployable Substations"
E6090315,"Mitigation: Deployable Substations"
E6090303,"Sandy Mitigation Reserve"
E6100208,"Recovery: Signals At 3 Yards - Design Only"
E6100209,"Recovery: Power Cable At 148 Street Yard"
E6100210,"Recovery: Power Cable At 207 Street Yard"
E6100211,"Recovery: Power Cable At Coney Island Yard"
E6100212,"Recovery: Power Cable At Rockaway Park Yard"
E6100213,"Recovery: Rockaway Park Yard Assessment"
E6100214,"Recovery: Coney Island Yard Assessment"
E6100215,"Recovery: 148 Street Yard Assessment"
E6100216,"Recovery: 207 Street Yard Assessment"
E6100218,"Recovery: 207 Street Yard Signal System"
E6100219,"Recovery: Yard Track (207 Street Yard)"
E6100220,"Recovery: Yard Switches (207 Street Yard)"
E6100222,"Recovery: Culver Yard (Signals/Track)"
E6100225,"Recovery: Coney Island Yard Complex"
E6100217,"Recovery Reserve: Shops And Yards Facilities Restoration"
E6100301,"Mitigation Reserve: Coney Island Yard"
E6100302,"Mitigation Reserve: Rockaway Park And 207 Street Yards"
E6100304,"Mitigation: Rockaway Park Yard - Design Only"
E6100306,"Mitigation: Near Term Perimeter Protection At Coney Island Yard"
E6100307,"Mitigation: Long Term Perimeter Protection At Coney Island Yard"
E6100308,"Mitigation: Near-Term Flood Protection At 207th Street Yard"
E6100309,"Mitigation: Long Term Perimeter Protection At 148th Street Yard"
E6100310,"Mitigation: Long Term Perimeter Protection At 207th Street Yard"
E6100311,"Mitigation: 148th Street Yard Portal"
E6100312,"Mitigation: 207th Street Yard Portal"
E6100313,"Mitigation: 148 And 207 Street Yards - Design Only"
